Country or Area,Subgroup,Year,Value,Value Footnotes
Ethiopia,Female,2004,19.0,No footnotes
Ethiopia,Female,2003,18.0,No footnotes
Ethiopia,Female,2002,19.0,No footnotes
Ethiopia,Female,2001,18.0,No footnotes
Ethiopia,Female,2000,17.0,No footnotes
Ethiopia,Female,1999,17.0,No footnotes
Finland,Female,2005,80.0,No footnotes
Finland,Female,2004,81.0,No footnotes
Finland,Female,2003,81.0,No footnotes
Finland,Female,2002,80.0,No footnotes
Finland,Female,2001,80.0,No footnotes
Finland,Female,2000,80.0,No footnotes
Finland,Female,1999,80.0,No footnotes
Gambia The,Female,2004,2.0,No footnotes
Georgia,Female,2005,61.0,No footnotes
Georgia,Female,2004,64.0,No footnotes
Georgia,Female,2003,64.0,No footnotes
Georgia,Female,2002,66.0,No footnotes
Georgia,Female,2001,68.0,No footnotes
Georgia,Female,2000,71.0,No footnotes
Georgia,Female,1999,73.0,No footnotes
Germany,Female,2005,69.0,No footnotes
Germany,Female,2004,69.0,No footnotes
Germany,Female,2003,69.0,No footnotes
Germany,Female,2002,69.0,No footnotes
Germany,Female,2001,69.0,No footnotes
Germany,Female,2000,69.0,No footnotes
Germany,Female,1999,69.0,No footnotes
Ghana,Female,2004,36.0,No footnotes
Ghana,Female,2002,31.0,No footnotes
Ghana,Female,2001,31.0,No footnotes
Ghana,Female,2000,29.0,No footnotes
Greece,Female,2005,70.0,No footnotes
Greece,Female,2004,70.0,No footnotes
Greece,Female,2002,68.0,No footnotes
Guatemala,Female,2002,61.0,No footnotes
Guinea,Female,2004,2.0,No footnotes
Guyana,Female,2005,82.0,No footnotes
Guyana,Female,2004,76.0,No footnotes
Honduras,Female,2003,79.0,No footnotes
Hong Kong SAR,Female,2005,75.0,3.0
Hong Kong SAR,Female,2004,75.0,3.0
Hong Kong SAR,Female,2003,75.0,3.0
Hungary,Female,2005,73.0,No footnotes
Hungary,Female,2004,71.0,No footnotes
Hungary,Female,2003,72.0,No footnotes
Hungary,Female,2002,72.0,No footnotes
Hungary,Female,2001,72.0,No footnotes
Hungary,Female,1999,74.0,No footnotes
Iceland,Female,2004,85.0,No footnotes
Iceland,Female,2003,84.0,No footnotes
Iceland,Female,2002,84.0,No footnotes
Iceland,Female,2001,86.0,No footnotes
Iceland,Female,2000,85.0,No footnotes
Iceland,Female,1999,83.0,No footnotes
India,Female,2004,50.0,No footnotes
India,Female,2002,43.0,No footnotes
India,Female,2001,43.0,No footnotes
Iran,Female,2005,69.0,No footnotes
Iran,Female,2004,67.0,No footnotes
Iraq,Female,2004,50.0,No footnotes
Iraq,Female,2000,51.0,No footnotes
Ireland,Female,2005,79.0,No footnotes
Ireland,Female,2004,83.0,No footnotes
Ireland,Female,2003,81.0,No footnotes
Ireland,Female,2002,84.0,No footnotes
Ireland,Female,2001,82.0,No footnotes
Ireland,Female,2000,78.0,No footnotes
Ireland,Female,1999,77.0,No footnotes
Israel,Female,2005,83.0,No footnotes
Israel,Female,2004,83.0,No footnotes
Israel,Female,2003,83.0,No footnotes
Israel,Female,2002,83.0,No footnotes
Israel,Female,2001,85.0,No footnotes
Israel,Female,2000,86.0,No footnotes
Israel,Female,1999,87.0,No footnotes
Italy,Female,2005,87.0,No footnotes
Italy,Female,2004,87.0,No footnotes
Italy,Female,2003,88.0,No footnotes
Italy,Female,2002,88.0,No footnotes
Italy,Female,2001,84.0,No footnotes
Italy,Female,2000,83.0,No footnotes
Italy,Female,1999,82.0,No footnotes
Japan,Female,2005,71.0,No footnotes
Japan,Female,2004,71.0,No footnotes
Japan,Female,2003,71.0,No footnotes
Japan,Female,2002,71.0,No footnotes
Japan,Female,2001,70.0,No footnotes
Japan,Female,2000,70.0,No footnotes
Japan,Female,1999,71.0,No footnotes
Jordan,Female,2005,77.0,No footnotes
Jordan,Female,2004,79.0,No footnotes
Jordan,Female,2003,79.0,No footnotes
Kenya,Female,2001,42.0,No footnotes
Kenya,Female,2000,42.0,No footnotes
Korea Rep,Female,2005,71.0,No footnotes
Korea Rep,Female,2004,70.0,No footnotes
Korea Rep,Female,2003,69.0,No footnotes
Korea Rep,Female,2002,68.0,No footnotes
Korea Rep,Female,2001,68.0,No footnotes
Korea Rep,Female,2000,67.0,No footnotes
Korea Rep,Female,1999,68.0,No footnotes
Kyrgyzstan,Female,2005,82.0,No footnotes
Kyrgyzstan,Female,2004,82.0,No footnotes
Kyrgyzstan,Female,2003,82.0,No footnotes
Kyrgyzstan,Female,2002,79.0,No footnotes
Kyrgyzstan,Female,2001,80.0,No footnotes
Lao PDR,Female,2005,47.0,No footnotes
Lao PDR,Female,2004,44.0,No footnotes
Lao PDR,Female,2003,40.0,No footnotes
Lao PDR,Female,2001,44.0,No footnotes
Lao PDR,Female,2000,45.0,No footnotes
Latvia,Female,2005,86.0,No footnotes
Latvia,Female,2004,88.0,No footnotes
Latvia,Female,2003,84.0,No footnotes
Latvia,Female,2002,81.0,No footnotes
Latvia,Female,2001,83.0,No footnotes
Latvia,Female,2000,84.0,No footnotes
Latvia,Female,1999,84.0,No footnotes
Lebanon,Female,2005,92.0,No footnotes
Lebanon,Female,2004,93.0,No footnotes
Lebanon,Female,2003,94.0,No footnotes
Lebanon,Female,2002,95.0,No footnotes
Lebanon,Female,2001,94.0,No footnotes
Lebanon,Female,2000,91.0,No footnotes
Lesotho,Female,2005,58.0,No footnotes
Lesotho,Female,2003,68.0,No footnotes
Lesotho,Female,2001,73.0,No footnotes
Lesotho,Female,2000,69.0,No footnotes
Lesotho,Female,1999,73.0,No footnotes
Liberia,Female,2000,45.0,No footnotes
Lithuania,Female,2005,78.0,No footnotes
Lithuania,Female,2004,77.0,No footnotes
Lithuania,Female,2003,78.0,No footnotes
Lithuania,Female,2002,81.0,No footnotes
