reference_area,time_period,observation_value
Bhutan,2006,113.34747999999999
Bhutan,2008,136.42833000000002
Bhutan,2009,142.5836
Bhutan,2010,156.27657
Bhutan,2011,160.16242
Bhutan,2012,169.77098
Bhutan,2013,178.37467
Bhutan,2014,188.62514000000002
Bolivia,2001,67.02817
Bolivia,2002,71.49814
Bolivia,2003,75.00589
Bolivia,2006,222.70433
Bolivia,2007,220.5757
Bolivia,2008,217.73269
Bolivia,2009,219.87059
Bolivia,2010,219.60302000000001
Bolivia,2011,218.394
Bolivia,2012,222.03764
Bolivia,2013,227.19745
Botswana,1975,30.55295
Botswana,1976,34.26122
Botswana,1977,37.14178
Botswana,1978,36.988060000000004
Botswana,1979,37.19722
Botswana,1980,42.5709
Botswana,1981,46.040729999999996
Botswana,1984,57.06232
Botswana,1985,65.48118
Botswana,1986,69.72479
Botswana,1989,84.40493000000001
Botswana,1990,93.64355
Botswana,1991,115.86281
Botswana,1992,115.80054999999999
Botswana,1993,124.82878
Botswana,1994,121.98349999999999
Botswana,1995,121.16302
Botswana,1998,174.18797
Botswana,1999,159.14175
Botswana,2000,160.86957
Botswana,2002,161.78987999999998
Botswana,2003,166.5466
Botswana,2013,188.55442
Brazil,2007,219.74224
Brazil,2009,236.57303
Brazil,2011,234.00723
Brazil,2012,235.68675
Brazil,2013,245.79174
British Virgin Islands,2011,77.42743
British Virgin Islands,2012,80.97853
British Virgin Islands,2013,82.34709
British Virgin Islands,2014,83.37432
Brunei Darussalam,1977,148.24822
Brunei Darussalam,1978,147.48655
Brunei Darussalam,1979,150.43778
Brunei Darussalam,1980,154.25990000000002
Brunei Darussalam,1981,152.61147
Brunei Darussalam,1982,157.04362
Brunei Darussalam,1983,163.26387
Brunei Darussalam,1984,155.74641
Brunei Darussalam,1991,207.72063000000003
Brunei Darussalam,1992,194.62369999999999
Brunei Darussalam,1993,196.73407
Brunei Darussalam,1994,200.4721
Brunei Darussalam,2005,267.66268
Brunei Darussalam,2006,271.11728
Brunei Darussalam,2007,265.60755
Brunei Darussalam,2008,264.26333999999997
Brunei Darussalam,2009,268.18962
Brunei Darussalam,2010,270.68898
Brunei Darussalam,2011,272.553
Brunei Darussalam,2012,278.6095
Brunei Darussalam,2013,272.72714
Brunei Darussalam,2014,261.13757
Bulgaria,1996,84.73743
Bulgaria,1997,84.58091
Bulgaria,1998,253.77983
Bulgaria,1999,255.48483000000002
Bulgaria,2000,258.67554
Bulgaria,2001,261.02126
Bulgaria,2002,262.81851
Bulgaria,2003,255.11892
Bulgaria,2004,259.23005
Bulgaria,2005,261.17194
Bulgaria,2006,259.90762
Bulgaria,2007,258.82401
Bulgaria,2008,255.8549
Bulgaria,2009,252.46531
Bulgaria,2010,252.36314
Bulgaria,2011,255.55159
Bulgaria,2012,256.00065
Bulgaria,2013,263.19489
Bulgaria,2014,264.42692
Burkina Faso,1983,7.38698
Burkina Faso,1985,2.99355
Burkina Faso,1986,10.50357
Burkina Faso,1989,15.78443
Burkina Faso,1992,19.97455
Burkina Faso,1993,20.5311
Burkina Faso,1994,20.54587
Burkina Faso,1999,25.85479
Burkina Faso,2001,23.89307
Burkina Faso,2003,28.41516
Burkina Faso,2004,31.614530000000002
Burkina Faso,2005,34.13216
Burkina Faso,2006,36.57002
Burkina Faso,2007,38.693290000000005
