Country or Area,Subgroup,Year,Source,Unit,Value,Value Footnotes
Armenia,Female,2001,UNESCO_UIS Database_Sep2007,Number,37523,
Armenia,Female,2000,UNESCO_UIS Database_Sep2007,Number,33731,
Armenia,Female,1999,UNESCO_UIS Database_Sep2007,Number,32883,
Armenia,Male,2005,UNESCO_UIS Database_Sep2007,Number,38569,
Armenia,Male,2004,UNESCO_UIS Database_Sep2007,Number,35319,
Armenia,Male,2003,UNESCO_UIS Database_Sep2007,Number,34059,
Armenia,Male,2002,UNESCO_UIS Database_Sep2007,Number,34958,
Armenia,Male,2001,UNESCO_UIS Database_Sep2007,Number,31181,
Armenia,Male,2000,UNESCO_UIS Database_Sep2007,Number,29063,
Armenia,Male,1999,UNESCO_UIS Database_Sep2007,Number,27801,
Aruba,Female,2005,UNESCO_UIS Database_Sep2007,Number,1259,
Aruba,Female,2004,UNESCO_UIS Database_Sep2007,Number,1026,
Aruba,Female,2003,UNESCO_UIS Database_Sep2007,Number,992,
Aruba,Female,2002,UNESCO_UIS Database_Sep2007,Number,962,
Aruba,Female,2001,UNESCO_UIS Database_Sep2007,Number,986,
Aruba,Female,2000,UNESCO_UIS Database_Sep2007,Number,957,
Aruba,Female,1999,UNESCO_UIS Database_Sep2007,Number,780,
Aruba,Male,2005,UNESCO_UIS Database_Sep2007,Number,847,
Aruba,Male,2004,UNESCO_UIS Database_Sep2007,Number,678,
Aruba,Male,2003,UNESCO_UIS Database_Sep2007,Number,680,
Aruba,Male,2002,UNESCO_UIS Database_Sep2007,Number,630,
Aruba,Male,2001,UNESCO_UIS Database_Sep2007,Number,642,
Aruba,Male,2000,UNESCO_UIS Database_Sep2007,Number,621,
Aruba,Male,1999,UNESCO_UIS Database_Sep2007,Number,666,
Australia,Female,2005,UNESCO_UIS Database_Sep2007,Number,553069,
Australia,Female,2004,UNESCO_UIS Database_Sep2007,Number,543347,
Australia,Female,2003,UNESCO_UIS Database_Sep2007,Number,544603,
Australia,Female,2002,UNESCO_UIS Database_Sep2007,Number,546544,
Australia,Female,2001,UNESCO_UIS Database_Sep2007,Number,470652,
Australia,Female,2000,UNESCO_UIS Database_Sep2007,Number,458538,
Australia,Female,1999,UNESCO_UIS Database_Sep2007,Number,457686,
Australia,Male,2005,UNESCO_UIS Database_Sep2007,Number,461991,
Australia,Male,2004,UNESCO_UIS Database_Sep2007,Number,459651,
Australia,Male,2003,UNESCO_UIS Database_Sep2007,Number,461374,
Australia,Male,2002,UNESCO_UIS Database_Sep2007,Number,465666,
Australia,Male,2001,UNESCO_UIS Database_Sep2007,Number,398037,
Australia,Male,2000,UNESCO_UIS Database_Sep2007,Number,386594,
Australia,Male,1999,UNESCO_UIS Database_Sep2007,Number,387950,
Austria,Female,2005,UNESCO_UIS Database_Sep2007,Number,131144,
Austria,Female,2004,UNESCO_UIS Database_Sep2007,Number,127206,
Austria,Female,2003,UNESCO_UIS Database_Sep2007,Number,121778,
Austria,Female,2002,UNESCO_UIS Database_Sep2007,Number,117881,
Austria,Female,2001,UNESCO_UIS Database_Sep2007,Number,137222,
